wind_speed, pitch
2.9492833517089307, 3.876651982378855
3.2800441014332966, 3.876651982378855
3.6990077177508267, 3.876651982378855
4.117971334068358, 3.436123348017621
4.911797133406836, 2.8193832599118944
5.507166482910694, 2.026431718061674
6.080485115766262, 1.3215859030837005
6.896361631753032, 0.0881057268722467
7.844542447629548, 0
8.7045203969129, 0
9.432194046306504, 0
10.115766262403529, 1.8502202643171808
10.77728776185226, 3.1718061674008813
11.1742006615215, 3.6123348017621146
11.637265711135612, 4.845814977973569
12.078280044101433, 5.991189427312776
12.717750826901874, 7.48898678414097
13.864388092613009, 9.60352422907489
14.547960308710033, 10.748898678414097
15.231532524807056, 11.718061674008812
16.245865490628447, 13.215859030837006
17.039691289966925, 14.273127753303966
17.723263506063944, 15.154185022026432
18.362734288864388, 15.947136563876652
19.04630650496141, 16.740088105726873
19.906284454244762, 17.709251101321588
20.45755237045204, 18.325991189427313
21.604189636163174, 19.559471365638768
22.640573318632853, 20.61674008810573
23.721058434399115, 21.762114537444933
24.40463065049614, 22.46696035242291
25.02205071664829, 22.995594713656388
